Turdus merula,Amsel
Pica pica,Elster
Garrulus glandarius,Eichelhäher
Columba palumbus,Ringeltaube
Streptopelia decaocto,Türkentaube
Fringilla coelebs,Buchfink
Parus major,Kohlmeise
Sylvia atricapilla,Mönchsgrasmücke
Passer domesticus,Haussperling
Cyanistes caeruleus,Blaumeise
Erithacus rubecula,Rotkehlchen
Dendrocopos major,Buntspecht
Buteo buteo,Mäusebussard
Passer montanus,Feldsperling
Picus viridis,Grünspecht
Passer domesticus,Haussperling
Sitta europaea,Kleiber
Apus apus,Mauersegler
Delichon urbicum,Mehlschwalbe
Corvus corone,Rabenkrähe
Hirundo rustica,Rauchschwalbe
Columba palumbus,Ringeltaube
Turdus philomelos,Singdrossel
Sturnus vulgaris,Star
Carduelis carduelis,Stieglitz
Falco tinnunculus,Turmfalke
Streptopelia decaocto,Türkentaube
Troglodytes troglodytes,Zaunkönig
Phylloscopus collybita,Zilpzalp
Ciconia nigra,Schwarzstorch
Ciconia ciconia,Weißstorch
Ardea cinerea,Graureiher
Upupa epops,Wiedehopf
Psittacula eupatria,Alexandersittich
Psittacula krameri,Halsbandsittich
Falco peregrinus,Wanderfalke
Falco columbarius,Merlin
Falco sparverius,Buntfalke
Bubo bubo,Uhu
Cuculus canorus,Kuckuck
Coturnix coturnix,Wachtel
Perdix perdix,Rebhuhn
Tetrao urogallus,Auerhuhn
Lyrurus tetrix,Birkhuhn
Anas platyrhynchos,Stockente
Fulica atra,Bläßhuhn
